backtest_id,daily_intelligence_id,run_date,period,discovery_source,source_publication,signal_type,category,trigger_entity,headline,article_summary,original_score,original_rationale,original_action,sentiment_tag,expected_tier,label_reason,revised_score,revised_rationale,pass
BT001,a9b92b52-c9f1-467b-9ad0-ee0ce62dc5d9,2026-07-17,P2_jul17_aug4,serper,IndexBox,Supply Chain,customers,Ply Gem,Vinyl siding market forecast grows through 2035 on insulated upgrades,"IndexBox forecasts global vinyl siding panel consumption to grow at ~3.8% CAGR from 2026 to 2035, driven by residential renovation and insulated product upgrades. The report cites recycled PVC adoption (30–50% recyclate targets) and ongoing PVC resin price volatility (15–25% year-on-year swings).",6.0,Growth in insulated PVC siding and recycled-content targets.,Share with sales,Positive,suppress,Market-report boilerplate (pattern match),2,Forecast-only content; no Ply Gem-specific event or transaction.,True
BT002,f51b4096-ee9a-4237-bc8b-a0ba9c422685,2026-07-17,P2_jul17_aug4,zoominfo,RubberWorld,Competitive,competitors,Kraiburg TPE,KRAIBURG TPE names Oliver Zintner as CEO,"KRAIBURG TPE in Waldkraiburg, Germany, appointed Oliver Zintner as CEO effective January 1, 2022, succeeding Franz Hinterecker after 23 years. Zintner previously led EMEA and corporate purchasing; Dr. Monika Hofmann takes over his EMEA responsibilities.",4.0,Competitor exec change; indirect potential purchasing strategy effects.,Monitor,Neutral,unlabeled,,4,Competitor leadership change; no operational or commercial metrics provided.,
BT003,69ab67b6-95b9-422b-b6ea-de95000cdd94,2026-07-17,P2_jul17_aug4,zoominfo,GlobeNewswire,Customer,customers,Inoac Automotive,INOAC USA buys ABC Technologies’ JV stake to form INOAC Exterior Systems,"INOAC USA Inc. completed its purchase of ABC Technologies’ 50% equity interest in the former joint venture ABC INOAC Exterior Systems. The new wholly owned entity, INOAC Exterior Systems (IES), adds four facilities and more than 1,200 employees and will supply North American automotive exterior parts.",6.0,Customer expansion in North American automotive exteriors.,Share with sales,Positive,unlabeled,,7,INOAC expands North American exterior parts supply footprint.,
BT004,7f24e369-08c6-4414-af89-5d3fb6eb0cc0,2026-07-17,P2_jul17_aug4,zoominfo,The Globe and Mail,Other,customers,Koch Industries,Globe and Mail page not found for Koch investment story,"The provided URL returns a 404 error, so no article content is available to extract details about Koch Industries or any related business activity.",4.0,No article content available; only a broken link signal.,Monitor,Neutral,unlabeled,,1,404 page; no event details to assess relevance.,
BT005,99cb163b-7568-4682-851a-85d240db4f18,2026-07-17,P2_jul17_aug4,zoominfo,My Buckhannon (Mountain State Spotlight),Regulatory,suppliers,Chemours,Chemours settlement mandates PFAS upgrades; future permit limits disputed,"Chemours’ Wood County, Ohio River plant must cut PFAS (“forever chemicals”) pollution and fund millions in upgrades under a settlement with the DOJ, EPA, and West Virginia DEP. The deal includes a $22.5 million fine and $450 million total settlement value, but future water discharge permit limits remain contested.",4.0,PFAS regulatory settlement affects specialty chemical demand and compliance costs.,Monitor,Neutral,unlabeled,,6,PFAS settlement forces costly upgrades and fines at Chemours’ plant.,
BT006,75fa7410-e851-45fe-9533-970382209378,2026-07-17,P2_jul17_aug4,zoominfo,Manufacturing Dive,Supply Chain,suppliers,Shintech,Shintech to invest $3.4B expanding Louisiana PVC capacity,"Shintech plans to invest $3.4 billion to expand PVC production at its Plaquemine, Louisiana facility in Iberville Parish. The phased project includes a second ethylene unit and additional chlor-alkali and vinyl chloride monomer capacity, with the first phase targeted for completion in 2030.",6.0,Supplier capacity expansion can shift PVC resin and caustic soda supply/pricing.,Monitor,Positive,unlabeled,,6,Major PVC/VCM capacity expansion can shift PVC input availability and pricing.,
BT007,37ab2a02-7c82-42c5-a9e0-db2b16488b1c,2026-07-20,P2_jul17_aug4,zoominfo,Reuters,Supply Chain,suppliers,Trinseo,Trinseo files voluntary Chapter 11 in U.S. bankruptcy court,Trinseo PLC has commenced voluntary Chapter 11 cases in U.S. bankruptcy court. The filing indicates financial distress and initiates the court-supervised restructuring process.,7.0,Supplier bankruptcy increases input supply and contract continuity risk.,Escalate to leadership,Negative,surface,Supplier bankruptcy - counterparty risk,6,Supplier bankruptcy can disrupt polymer supply and pricing.,True
BT008,37d167b7-895d-4051-b077-327cc3f9243f,2026-07-20,P2_jul17_aug4,serper,NewsBytes,Supply Chain,fibers,fibers,"Hormuz conflict disrupts oil supply, spiking polyester and spandex costs","The Strait of Hormuz conflict is disrupting oil supplies, tightening polyester and spandex availability for fast fashion. China synthetic fiber production has dropped, polyester prices have spiked, and logistics costs are rising alongside higher cotton prices.",6.0,Direct polyester supply disruption affects fiber-grade demand and pricing.,Monitor,Negative,surface,Feedstock cost shock in fibers segment,7,Direct polyester/spandex cost and availability disruption from Hormuz.,True
BT009,4ddda461-7186-4f90-87db-e1719d509c01,2026-07-20,P2_jul17_aug4,serper,Just Auto,Macro,macro_automotive,macro_automotive,Hainan to ban new ICE vehicle sales by 2030,"China’s Hainan province confirmed it will ban the sale of new internal combustion engine (ICE) vehicles by 2030. The province targets new energy vehicles (NEVs) to reach 45% of vehicles in use by end-2029, up from 24% in 2025, with existing ICE vehicles still legal to drive after emissions tests.",6.0,NEV policy in China drives EV material demand shift.,Monitor,Positive,suppress,"Distant regional policy, no near-term mechanism",2,"Macro policy shift without specified materials, suppliers, or pricing impacts.",True
BT010,d1b70b7f-349f-498a-ab22-ef61aa3ba291,2026-07-20,P2_jul17_aug4,serper,Fact.MR,Supply Chain,engineered_resins,engineered_resins,Warpage-safe pigment market forecast grows through 2036,"Fact.MR forecasts the Plastics Warpage Pigments market to grow from USD 79.0 million in 2026 to USD 133.0 million by 2036 (5.3% CAGR). Growth is attributed to tighter dimensional tolerances in injection-molded colored polyolefins, with polypropylene and rigid packaging highlighted as leading segments.",6.0,Forecast growth in low-warpage pigments for PP injection molding.,Share with sales,Positive,suppress,Market-report boilerplate (pattern match),3,Forecast-only content; no operational or commercial event.,True
BT011,cdafa4b0-db3c-408c-a2e7-d9c30a183003,2026-07-20,P2_jul17_aug4,serper,IndexBox,Macro,competitors,RTP Company,IndexBox forecasts CFRTP growth through 2035,"IndexBox projects the global Continuous Fiber Reinforced Thermoplastic (CFRTP) market will grow at a 7–9% CAGR through 2035, driven by electronics miniaturization and thermal management needs. The report cites standard CFRTP prices of USD 30–60/kg and specialty grades at USD 80–120/kg, with adoption barriers including 12–18 month qualification cycles.",6.0,Competitor list includes RTP; market growth supports Americhem addressable demand.,Monitor,Positive,suppress,Market-report boilerplate (pattern match),3,Forecast-only content; no RTP operational or commercial event.,True
BT012,40b48515-49fd-41ed-b96a-aad46d0cdca9,2026-07-20,P2_jul17_aug4,serper,ICIS,Customer,suppliers,Univar Solutions,ICIS unveils 2026 Top 100 chemical distributors ranking,ICIS unveiled its 17th annual ICIS Top 100 Chemical Distributors ranking for 2026. Brenntag leads with $17.8 billion in 2025 sales; Univar Solutions is listed as the top US distributor at $11.5 billion. The release cites supply chain disruptions and emphasizes distributor resilience.,5.0,Strengthens confidence in distributor channel demand via Univar.,Share with sales,Positive,unlabeled,,3,Ranking only; no operational or commercial change for Univar.,
BT013,6ec75829-fa0d-44a4-8977-88be8544daf9,2026-07-20,P2_jul17_aug4,zoominfo,GlobeNewswire,Macro,suppliers,Kuraray,Agricultural films market forecast highlights Kuraray and Dow,"Research and Markets added a report forecasting the global agricultural films market to grow from USD 12.90 billion in 2025 to USD 29.08 billion by 2033 (11.3% CAGR). The release cites demand drivers including modern and sustainable farming, including nano greenhouse films for off-grid areas, and profiles key players including Dow Inc. and Kuraray Co. Ltd.",6.0,Market growth supports agricultural film polymer demand and additive consumption.,Monitor,Positive,unlabeled,,2,"Forecast-only; no capacity, pricing, or counterparty actions.",
BT014,5eefac9d-4e62-4415-b58d-b8068bfe0b79,2026-07-20,P2_jul17_aug4,zoominfo,BBC,Supply Chain,suppliers,Venator Materials,Venator Materials put up for sale after administrators appointed,"Venator Materials plc, a chemicals firm producing titanium dioxide pigments and performance additives, was put up for sale after administrators were called in. Administrators Alvarez and Marsal are working to sell UK businesses operating from Greatham, Wynyard and Birtley, with about 520 staff in north-east England and 2,249 employees globally.",7.0,Venator supplies pigments/additives; sale/administration threatens supply continuity.,Escalate to leadership,Negative,unlabeled,,7,Supplier distress and sale risk for TiO2 and additives supply.,
BT015,23f5cc4b-5969-4d52-b8b9-873ff03dd3e0,2026-07-20,P2_jul17_aug4,zoominfo,GlobeNewswire,Supply Chain,suppliers,Kronos Worldwide,Kronos Worldwide schedules Q2 2026 earnings release,"Kronos Worldwide, Inc. (NYSE: KRO) said it expects to report second quarter 2026 earnings in a press release after market close on Wednesday, August 5, 2026, subject to quarter-end closing procedures. Kronos Worldwide is a major international producer of titanium dioxide products.",4.0,Earnings timing only; no direct titanium dioxide supply or pricing change stated.,Monitor,Neutral,unlabeled,,3,Earnings schedule only; no operational or pricing signal.,
BT016,28130bf3-7c02-46b8-8ee3-aa0552fa6d9d,2026-07-21,P2_jul17_aug4,serper,Nikkei Asia,Macro,macro_automotive,macro_automotive,"Malaysia EV sales surge, overtaking hybrids in 2026","Malaysia’s EV sales more than doubled in the first half of 2026, overtaking hybrids for the first time. Proton’s e.MAS models are cited as helping drive the surge and lifting the local auto industry’s full-year 2026 forecast.",6.0,EV volume growth supports higher automotive polymer compound demand.,Monitor,Positive,suppress,"Generic regional macro, no mechanism",3,Macro EV demand only; no direct materials or sourcing linkage.,True
BT017,5a6b4479-aaa9-490f-8dfe-35ab5da3c1fe,2026-07-21,P2_jul17_aug4,serper,IndexBox,Macro,competitors,RTP Company,IndexBox forecasts appliance fabrication growth on capacity and quality tightening,"IndexBox projects the global Appliance Fabrication market will grow at a 4–6% CAGR from 2026–2035, driven by capacity expansion and tightening quality standards. The report highlights increased demand for high-purity specialty formulations, longer supplier qualification cycles (3–9 months), and compliance with REACH, RoHS, and food-contact approvals across many SKUs.",6.0,"Growth in specialty, high-purity grades used in appliance compounding.",Monitor,Positive,suppress,Market-report boilerplate (pattern match),3,"Forecast-only content; no RTP capacity, pricing, or deal details.",True
BT018,7e4c454b-bfa1-4f9a-888e-cb283014b354,2026-07-21,P2_jul17_aug4,serper,IndexBox,Macro,competitors,Akro-Mils,IndexBox forecasts growth for tool organizer liners and inserts market,"IndexBox projects the global Tool Organizer Liners & Inserts market to grow at ~5.5% CAGR from 2026 to 2035, reaching an index of 170 (2025=100). Growth is attributed to rising professional tool ownership, replacement demand, and material shifts toward closed-cell polyethylene foam and recycled-content rubber.",6.0,Market growth and material shift toward PE/EVA and recycled rubber.,Monitor,Positive,suppress,Market-report boilerplate (pattern match),2,"Forecast-only; no capacity, pricing, or counterparty event.",True
BT019,cf7634be-b07d-47f6-9fb4-ca4dca8cda51,2026-07-21,P2_jul17_aug4,serper,Future Market Insights,Macro,engineered_resins,engineered_resins,High tolerance plastics market forecast grows through 2036,"Future Market Insights forecasts the global high tolerance plastics market to grow from USD 3,860.7 million in 2026 to USD 7,737.7 million by 2036 (7.2% CAGR). The report highlights automotive as the leading end use (42.8% share in 2026) and PEEK/PEKK as a major polymer segment (38.0% share in 2026).",6.0,Forecasted growth in PEEK/PEKK and automotive precision plastics.,Monitor,Positive,suppress,Market-report boilerplate (pattern match),3,Forecast-only; no operational or commercial event tied to engineered_resins.,True
